listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149534331,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-silvestre-san-juan-de-lurigancho-3-dormitorios-149534331?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3,2026-05-18,san-juan-de-lurigancho,urbania,425080,,,105,3,2.0,,Papiros 367 Urb,San Juan de Lurigancho,San Silvestre,10,Departamento · 105m² · 3 Dormitorios
148064963,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-2-dormitorios-148064963?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=4,2026-05-18,san-juan-de-lurigancho,urbania,311400,90000.0,,120,2,2.0,,LAS Flores,Lima,San Juan de Lurigancho,1,Departamento · 120m² · 2 Dormitorios
145918314,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mangomarca-san-juan-de-lurigancho-2-dormitorios-145918314?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5,2026-05-18,san-juan-de-lurigancho,urbania,1480000,400000.0,,127,2,2.0,,Akapana 1169,San Juan de Lurigancho,Mangomarca,1,Departamento · 127m² · 2 Dormitorios
148212425,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-las-flores-san-juan-de-lurigancho-3-dormitorios-148212425?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,2026-05-18,san-juan-de-lurigancho,urbania,319000,95000.0,,153,3,2.0,,Jr  Los Calamos  al 1483,San Juan de Lurigancho,Las Flores,1,Departamento · 153m² · 3 Dormitorios
147615861,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-2-dormitorios-147615861?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,2026-05-18,san-juan-de-lurigancho,urbania,543220,157000.0,,148,2,2.0,,San Hilarion,Lima,San Juan de Lurigancho,1,Departamento · 148m² · 2 Dormitorios
149173638,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-3-dormitorios-149173638?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-05-18,san-juan-de-lurigancho,urbania,290700,85000.0,,148,3,,,Zarate-  Distrito de SAN Juan DE Lurigancho,Lima,San Juan de Lurigancho,1,Departamento · 148m² · 3 Dormitorios
147615872,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-3-dormitorios-147615872?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,2026-05-18,san-juan-de-lurigancho,urbania,501700,145000.0,,137,3,2.0,,SAN Hilarion,Lima,San Juan de Lurigancho,1,Departamento · 137m² · 3 Dormitorios
149227820,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-3-dormitorios-149227820?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,2026-05-18,san-juan-de-lurigancho,urbania,467100,135000.0,,137,3,2.0,,SAN Hilarion,Lima,San Juan de Lurigancho,1,Departamento · 137m² · 3 Dormitorios
149371779,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-zarate-san-juan-de-lurigancho-3-dormitorios-149371779?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=11,2026-05-18,san-juan-de-lurigancho,urbania,362730,107000.0,,128,3,1.0,,Luis     9.9.9.6.1.7.7.8.8,San Juan de Lurigancho,Zarate,1,Departamento · 108m² · 3 Dormitorios
149341048,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-canto-grande-san-juan-de-lurigancho-3-dormitorios-149341048?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12,2026-05-18,san-juan-de-lurigancho,urbania,271800,79000.0,,86,3,2.0,,Jirón el Rosario 470,San Juan de Lurigancho,Canto Grande,1,Departamento · 86m² · 3 Dormitorios
149327814,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-3-dormitorios-149327814?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=13,2026-05-18,san-juan-de-lurigancho,urbania,278800,82000.0,,160,3,2.0,,Av. Sta. Rosa de Lima,Lima,San Juan de Lurigancho,1,Departamento · 160m² · 3 Dormitorios
149331007,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-maria-de-chosica-san-juan-de-lurigancho-3-dormitorios-149331007?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=14,2026-05-18,san-juan-de-lurigancho,urbania,387550,115000.0,,102,3,3.0,2.0,Avenida Huachipa,San Juan de Lurigancho,Santa Maria De Chosica,1,Departamento · 102m² · 3 Dormitorios · 2 Estacionamientos
149355831,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mangomarca-san-juan-de-lurigancho-3-dormitorios-149355831?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-05-18,san-juan-de-lurigancho,urbania,321780,93000.0,80.0,107,3,2.0,,Puruchuco 888,San Juan de Lurigancho,Mangomarca,1,Departamento · 107m² · 3 Dormitorios
149813914,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-ciudad-mariscal-caceres-san-juan-de-lurigancho-2-dormitorios-149813914?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=16,2026-05-18,san-juan-de-lurigancho,urbania,155000,,,70,2,1.0,,Jr. Este 5373,San Juan de Lurigancho,Ciudad Mariscal Caceres,1,Departamento · 70m² · 2 Dormitorios
149650836,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-3-dormitorios-149650836?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,2026-05-18,san-juan-de-lurigancho,urbania,429000,122571.0,,105,3,2.0,,Papiros,Lima,San Juan de Lurigancho,1,Departamento · 105m² · 3 Dormitorios
149045111,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mangomarca-san-juan-de-lurigancho-3-dormitorios-149045111?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-05-18,san-juan-de-lurigancho,urbania,315000,90000.0,,100,3,1.0,,Akapana 1169,San Juan de Lurigancho,Mangomarca,1,Departamento · 100m² · 3 Dormitorios
149044994,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mangomarca-san-juan-de-lurigancho-3-dormitorios-149044994?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,2026-05-18,san-juan-de-lurigancho,urbania,350000,100000.0,,120,3,1.0,1.0,Akapana 1169,San Juan de Lurigancho,Mangomarca,1,Departamento · 120m² · 3 Dormitorios · 1 Estacionamiento
147831975,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-5-a-mas-dormitorios-147831975?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=20,2026-05-18,san-juan-de-lurigancho,urbania,294588,88200.0,,155,5,2.0,,Jr. Los Jazmines 264. San Juan de Lurigancho,Lima,San Juan de Lurigancho,1,Departamento · 155m² · 5 Dormitorios
149651544,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-3-dormitorios-149651544?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,2026-05-18,san-juan-de-lurigancho,urbania,252000,,,59,3,2.0,1.0,Campoy,Lima,San Juan de Lurigancho,1,Departamento · 59m² · 3 Dormitorios · 1 Estacionamiento
149722047,https://urbania.pe/inmueble/clasificado/veclappa-venta-de-departamento-en-mangomarca-san-juan-de-lurigancho-2-dormitorios-149722047?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=22,2026-05-18,san-juan-de-lurigancho,urbania,293500,,,80,2,2.0,,Sillustani 2315,San Juan de Lurigancho,Mangomarca,1,Departamento · 80m² · 2 Dormitorios
148932861,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mangomarca-san-juan-de-lurigancho-3-dormitorios-148932861?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=23,2026-05-18,san-juan-de-lurigancho,urbania,305000,88000.0,,107,3,2.0,,Puruchuco 838,San Juan de Lurigancho,Mangomarca,1,Departamento · 107m² · 3 Dormitorios
148065022,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-de-lurigancho-lima-5-a-mas-dormitorios-148065022?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=24,2026-05-18,san-juan-de-lurigancho,urbania,1392000,400000.0,,422,8,6.0,,San Hilarion,Lima,San Juan de Lurigancho,1,Departamento · 422m² · 8 Dormitorios
146973110,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-campoy-san-juan-de-lurigancho-2-dormitorios-146973110?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=25,2026-05-18,san-juan-de-lurigancho,urbania,163300,46000.0,,42,2,1.0,,URB Campoy,San Juan de Lurigancho,Campoy,1,Departamento · 42m² · 2 Dormitorios
